Rank,Description,,,,,,,,
Mega Ray,God of Air,,,,,,,,
Mega X,God of Fists,,,,,,,,
Mega Y,God of Mind,,,,,,,,
S+++,"Best in its class and in other classes, wide spread coverage, absolutely absurd innate DPS. Top 0.05% of DPS",,,,,,,,
S++,"Best in its class and sometimes in other classes, wide spread coverage, top 0.1% of DPS ceiling",,,,,,,,
S+,Best in its class. High Coverage. Can sometimes be flexed into different roles. Top 0.5% of DPS ceiling,,,,,,,,
S,Top 3 in its class. High Coverage. Best or near the best in its role. Top 1-5% of DPS ceiling,,,,,,,,
A,"Top 5 in its class. Medium Coverage. A good substitute if ideal counters are missing, various flexibility Top 5-10% of DPS ceiling",,,,,,,,
B,"Top 10 in its class. Medium-Low Coverage. A good substitute if ideal counters are missing, sometimes used only in niche situations or lower tier raids. Top 10-15% of DPS ceiling",,,,,,,,
C,"A decent budget option, may have small niches here and there. Can be seen commonly in lower level raids where pool is larger. Top 15-20% of DPS ",,,,,,,,
D,"An extremely niche pick, not conventionally usable in raids at all but may have a few instances of good usage. Requires a lot of cooking",,,,,,,,
Type,Tier,Pokemon,Role,Fast Move,Fast Move 2,Charge Move,Charge Move 2,Charge Move 3,Notes
Ice,S+++,Kyurem Black,Catch Tank,Dragon Tail,Shadow Claw,Freeze Shock,,,Arguably most versatile catch tank in the game
Ice,S++,Kyurem White,Main DPS,Ice Fang,,Ice Burn,,,
Ice,A-,Mega Mewtwo Y,Support DPS,Psycho Cut,,Ice Beam,,,
Ice,B,Shadow Mamoswine,Support DPS,Powder Snow,,Avalanche,,,
Ice,B-,Shadow Weavile,Support DPS,Ice Shard,,Avalanche,,,
Electric,S++,Mega Raichu Y,Main DPS,Thunder Shock,,Zap Cannon++++,Wild Charge,Thunder Punch,Best Electric attacker in the game
Electric,S+,Shadow Zekrom,Catch Tank,Charge Beam,,Fusion Bolt,,,
Electric,S,Regieleki,Catch Tank,Lock On,,Thunder Cage,,,Strongest Electric Catch Tank in most situations.
Electric,A+,Mega Raichu X,Main DPS,Volt Switch,,Volt Tackle++++,Wild Charge,,
Electric,B+,Zeroaora,Support DPS,Volt Switch,,Plasma Fists,,,
Electric,B+,Xurkitree,Support DPS,Thunder Shock,,Discharge,,,
Electric,C+,Zekrom,Support DPS,Charge Beam,,Fusion Bolt,,,
Rock,S+,Shadow Regigigas,"Main DPS, Catch Tank",Hidden Power Rock,,Crush Grip,,,
Rock,S,Shadow Rampardos,"Executor, Support DPS",Smack Down,,Rock Slide,,,
Rock,S-,Shadow Tyrantrum,Catch Tank,Rock Throw,,Meteor Beam,,,
Rock,S-,Mega Diancie,Support DPS,Rock Throw,,Rock Slide,,,
Rock,A,Shadow Rhyperior,Catch Tank,Smack Down,,Rock Wrecker,,,
Rock,B-,Shadow Gigalith,Support DPS,Lock On,Smack Down,Meteor Beam,,,
Rock,C,Shadow Tyranitar,Support DPS,Smack Down,,Stone Edge,,,
Psychic,Mega Y,Mega Mewtwo Y,Main DPS,Psycho Cut,Confusion,Future Sight++++,Psystrike,,"Best DPSer in the game, can be used off-type."
Psychic,A-,Shadow Mewtwo,Support DPS,Psycho Cut,,Psystrike,,,"possibly powercrept entirely by mega Mewtwo Y, could be a catch tank"
Psychic,A-,Mega Alakazam,Support DPS,Psycho Cut,,Psychic,,,"possibly powercrept entirely by mega Mewtwo Y, could be a catch tank"
Fire,S++,Mega Delphox,Main DPS,Fire Spin,,Mystical Fire++++,Blast Burn,,
Fire,S+,Shadow Reshiram,"Support DPS, Catch tank",Fire Fang,,Fusion Flare,,,
Fire,S,Blacephalon,Support DPS,Incinerate,,Mind Blown,,,
Fire,S,Mega Blaziken,Main DPS,Fire Spin,,Blast Burn,Blaze Kick,,
Fire,S,Mega Charizard Y,Main DPS,Fire Spin,,Blast Burn,,,
Fire,B+,Shadow Darmanitan,Catch Tank,Fire Fang,,Overheat,,,
Fire,C+,Shadow Heatran,Support DPS,Fire Spin,,Magma Storm,,,
Dragon,S+++,Eternatus,"Main DPS, Catch Tank",Dragon Tail,,Dynamax Cannon,,,"Best Dragon Frontline DPSer in the game, strongest catch tank in the game"
Dragon,S++,Mega Rayquaza,"Support DPS, Executor",Dragon Tail,,Breaking Swipe,,,Best utility dragon DPSer in the game
Dragon,S+,Mega Dragonite,Support DPS,Dragon Tail,,Outrage++++,,,
Dragon,S,Mega Garchomp,Various,Dragon Tail,,Breaking Swipe,,,
Dragon,B+,Shadow Dialga,Catch Tank,Dragon Breath,,Draco Meteor,,,
Dragon,B+,Shadow Garchomp,Catch Tank,Dragon tail,,Breaking Swipe,,,
Dragon,B,Shadow Salamence,Catch Tank,Dragon Tail,,Draco Meteor,,,
Dragon,B,Baxcalibur,Catch Tank,Dragon Breath,,Glaive Rush,,,
Dragon,B-,Palkia Origin,Catch Tank,Dragon tail,,Spacial Rend,,,
Dragon,C+,Dialga Origin,Catch Tank,Dragon Breath,Metal Claw,Roar of Time,,,
Dragon,C-,Shadow Palkia,Support DPS,Dragon tail,,Draco Meteor,,,
Dragon,C-,Shadow Haxorus,Support DPS,Dragon tail,,Breaking Swipe,,,
Normal,S++,Shadow Regigigas,Catch Tank,Hidden Power,Zen Headbutt,Crush Grip,,,"2nd Most versatile catch tanker in the game, incredibly adaptable."
Ground,S+,Primal Groudon,Main DPS,Mud Shot,,Precipice Blades,Fire Punch,,
Ground,S,Shadow Groudon,"Catch Tank, Support DPs",Mud Shot,,Precipice Blades,,,
Ground,S,Shadow Mamoswine,Catch Tank,Mud Slap,,High Horsepower,,,
Ground,S-,Landorus Therian,Catch Tank,Mud Shot,,Sandsear Storm,,,
Ground,S-,Mega Garchomp,Main DPS,Mud Shot,,Earth Power,,,
Ground,A-,Shadow Garchomp,Catch Tank,Mud Shot,,Earthquake,,,
Ground,B+,Shadow Excadrill,Catch Tank,Mud Shot,,Earthquake,,,
Ground,D,Shadow Ursaluna,Catch Tank,Tackle,,High Horsepower,,,
Grass,S,Mega Chesnaught,Main DPS,Vine Whip,,Seed Bomb++++,,,
Grass,S,Mega Sceptile,Main DPS,Fury Cutter,,Frenzy Plant,,,
Grass,B-,Kartana,Support DPS,Razor Leaf,,Leaf Blade,,,
Bug,S+,Mega Beedrill,Main DPS,Bug Bite,,Fell Stinger++++,,,
Bug,S,Mega Heracross,Main DPS,Fury Cutter,,Megahorn,,,
Bug,A,Mega Pinsir,Main DPS,Fury Cutter,,X-Scissor,,,
Bug,B+,Shadow Vikavolt,Support DPS,Bug Bite,,X-Scissor,,,
Bug,B-,Volcarona,Support DPS,Bug Bite,,Bug Buzz,,,
Bug,C+,Pheromosa,Support DPS,Bug Bite,,Bug Buzz,,,
Bug,C,Genesect,Support DPS,Fury Cutter,,X-Scissor,,,
Water,S+,Mega Greninja,Main DPS,Water Shuriken,,Surf++++,Hydro Cannon,,Borderline S++
Water,A+,Primal Kyogre,Main DPS,Waterfall,,Origin Pulse,,,
Water,A,Shadow Kyogre,Catch Tank,Waterfall,,Origin Pulse,,,
Steel,S++,Zacian Crown,Main DPS,Metal Claw,,Behemoth Blade,Play Rough,,
Steel,S+,Necrozma Dusk Mane,Catch Tank,Metal Claw,Psycho Cut,Sunsteel Strike,Iron head,,
Steel,A+,Zamazenta Crown,"Executor, Catch Tank",Metal Claw,,Behemoth Bash,,,
Steel,C,Tinkaton,"Support DPS, Catch Tank",Fairy Wind,,Gigaton Hammer,,,Surprisingly holds its own vs Kyurems and Terrakion.
Steel,C-,Mega Metagross,Main DPS,Bullet Punch,,Meteor Mash,,,
Steel,C-,Shadow Metagross,Support DPS,Bullet Punch,,Meteor Mash,,,
Dark,S+,Mega Houndoom,Main DPS,Snarl,,Dark Pulse++++,,,
Dark,B+,Shadow Darkrai,Support DPS,Snarl,,Foul Play,,,
Ghost,S++,Necrozma Dawn Wings,"Main DPS, Catch Tank",Psycho Cut,,Moongeist Beam,,,
Ghost,S-,Mega Gengar,Executor,Lick,,Shadow Ball,,,
Ghost,B+,Shadow Gengar,Support DPS,Lick,,Shadow Ball,,,
Ghost,B+,Shadow Chandelure,Support DPS,Hex,,Shadow Ball,Poltergeist,,
Fighting,Mega X,Mega Mewtwo X,Main DPS,Counter,,Dynamic Punch++++,,,
Fighting,S++,Mega Lucario,Main DPS,Force Palm,,Aura Sphere,,,
Fighting,S+,Keldeo-Resolute,"Support DPS, Catch Tank",Low Kick,,Secret Sword,,,
Fighting,A+,Shadow Blaziken,"Support DPS, Catch Tank",Counter,,Aura Sphere,,,
Fighting,C,Shadow Conkeldurr,Catch Tank,Force Palm,,Focus Blast,,,
Poison,S+,Mega Victreebel,Main DPS,Acid,,Acid Spray++++,,,
Poison,S-,Mega Beedrill,Main DPS,Poison Jab,,Sludge Bomb,,,
Poison,A,Eternatus,Support DPS,Poison Jab,,Sludge Bomb,,,
Poison,A-,Shadow Gengar,Catch Tank,Lick,,Sludge Bomb,,,
Poison,C+,Nihilego,Catch Tank,Poison Jab,,Sludge Wave,,,
Fairy,A,Mega Gardevoir,Main DPS,Charm,,Dazzling Gleam,,,
Fairy,B-,Zacian Crown,Support DPS,Metal Claw,,Play Rough,,,
Flying,Mega Ray,Mega Rayquaza,Main DPS,Air Slash,,Dragon Ascent,,,
Flying,S-,Shadow Salamence,Catch Tank,Dragon tail,,Fly,,,
Flying,A+,Mega Skarmory,Main DPs,Air Slash,,Drill Peck++++,,,
Flying,A,Shadow Moltres,Support DPS,Wing Attack,,Fly,,,
